Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-3.4729E-13,0.025159,0.00042759,0,0,0,2.9831,0.013622,6.9237E-09,-4.0738E-07,0.020949,0.00017406,0.010711,0,0,0,0,0,0,package://TOTAL ASSY_4차_URDF_sample/meshes/base_link.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://TOTAL ASSY_4차_URDF_sample/meshes/base_link.STL,,TEST BASE-1/BASE-1;TEST BASE-1/BASE PLATE-2;TEST BASE-1/BASE PLATE-1;LEG L-2_2차_ASSY-1/RS03-1;LEG R-2_2차_ASSY-1/RS03-1;LEG R-1_2차_ASSY-1/RS03-1;LEG L-1_2차_ASSY-1/RS03-1,base_co,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
FL_hip_roll,-0.001427,-0.00042966,0.051362,0,0,0,0.33515,0.00051119,4.2369E-06,-3.3689E-07,0.00026652,-3.6916E-07,0.00035513,0,0,0,0,0,0,package://TOTAL ASSY_4차_URDF_sample/meshes/FL_hip_roll.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://TOTAL ASSY_4차_URDF_sample/meshes/FL_hip_roll.STL,,LEG L-1_2차_ASSY-1/HIP BRACKET-1;LEG L-1_2차_ASSY-1/RS04-1,FL_hip_roll_co,FL_hip_roll_rot,FL_hip_roll,revolute,0.172,0.061181,-0.06897,0,1.5708,0,base_link,0,0,1,0,0,0,0,,,,,,,,
FL_hip_pitch,-0.032136,0.038352,0.069748,0,0,0,1.2961,0.0045968,0.0024204,6.57E-05,0.0027829,-0.00010619,0.0072958,0,0,0,0,0,0,package://TOTAL ASSY_4차_URDF_sample/meshes/FL_hip_pitch.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://TOTAL ASSY_4차_URDF_sample/meshes/FL_hip_pitch.STL,,LEG L-1_2차_ASSY-1/THIGH BRACKET-1;LEG L-1_2차_ASSY-1/STOPPER-1-L-2;LEG L-1_2차_ASSY-1/STOPPER-2-L-3;LEG L-1_2차_ASSY-1/LINK SHAFT-1;LEG L-1_2차_ASSY-1/LINK BRACKET-L-1;LEG L-1_2차_ASSY-1/THIGH BODY COVER 2차-L-2;LEG L-1_2차_ASSY-1/THIGH BODY 2차-L-1;LEG L-1_2차_ASSY-1/RS04-2,FL_hip_pitch_co,FL__hip_pitch_rot,FL_hip_pitch,revolute,0.019997,0.00033987,0.078,0,-1.5708,0,FL_hip_roll,0,-0.016993,0.99986,0,0,0,0,,,,,,,,
FL_knee_pitch,0.0952133616673755,0.0891807644355748,0.00151548488404804,0,0,0,0.427686087877279,0.000836104288234169,-0.000964253042238189,-1.63842599641807E-05,0.0012878469409147,-1.35782904034778E-05,0.00208663845577627,0,0,0,0,0,0,package://TOTAL ASSY_4차_URDF_sample/meshes/FL_knee_pitch.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://TOTAL ASSY_4차_URDF_sample/meshes/FL_knee_pitch.STL,,LEG L-1_2차_ASSY-1/CALF BODY_2차-1;LEG L-1_2차_ASSY-1/FOOT_BKT_2차-1,FL_knee_pitch_co,FL_knee_pitch_rot,FL_knee_pitch,revolute,-0.12,0.20639,0.08752,0,0,0,FL_hip_pitch,0,-0.016993,0.99986,0,0,0,0,,,,,,,,
FL_foot,0.0020513,7.4563E-05,-0.0043872,0,0,0,0.056509,9.6885E-06,2.6857E-08,-1.5804E-06,1.3535E-05,2.0446E-08,1.2332E-05,0,0,0,0,0,0,package://TOTAL ASSY_4차_URDF_sample/meshes/FL_foot.STL,0,0,0,1,0,0,0,0,0,0,package://TOTAL ASSY_4차_URDF_sample/meshes/FL_foot.STL,,LEG L-1_2차_ASSY-1/FOOT_RUBBER_2차-1,FL_foot_co,,FL_foot,fixed,0.16971,0.16968,0.0028839,1.5708,0,0,FL_knee_pitch,0,0,0,,,,,,,,,,,,
FR_hip_roll,0.0014351,-4.6239E-05,0.050332,0,0,0,0.33515,0.00051119,4.2573E-06,-2.5971E-07,0.00026896,-3.7267E-06,0.00035269,0,0,0,0,0,0,package://TOTAL ASSY_4차_URDF_sample/meshes/FR_hip_roll.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://TOTAL ASSY_4차_URDF_sample/meshes/FR_hip_roll.STL,,LEG R-1_2차_ASSY-1/HIP BRACKET-1;LEG R-1_2차_ASSY-1/RS04-1,FR_hip_roll_co,FR_hip_roll_rot,FR_hip_roll,revolute,0.172,0.058802,0.071009,0,1.5708,0,base_link,0,0,-1,0,0,0,0,,,,,,,,
FR_hip_pitch,-0.031891,0.040846,-0.068904,0,0,0,1.2962,0.0045935,0.0024235,1.7247E-05,0.0027847,-4.6933E-05,0.0072983,0,0,0,0,0,0,package://TOTAL ASSY_4차_URDF_sample/meshes/FR_hip_pitch.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://TOTAL ASSY_4차_URDF_sample/meshes/FR_hip_pitch.STL,,LEG R-1_2차_ASSY-1/THIGH BRACKET-1;LEG R-1_2차_ASSY-1/STOPPER-1;LEG R-1_2차_ASSY-1/THIGH BODY COVER 2차-1;LEG R-1_2차_ASSY-1/STOPPER-2-1;LEG R-1_2차_ASSY-1/RS04-2;LEG R-1_2차_ASSY-1/LINK SHAFT-1;LEG R-1_2차_ASSY-1/LINK BRACKET-1;LEG R-1_2차_ASSY-1/THIGH BODY 2차-1,FR_hip_pitch_co,FR_hip_pitch_rot,FR_hip_pitch,revolute,-0.019497,-0.00033137,0.078,0,-1.5708,0,FR_hip_roll,0,0.016993,-0.99986,0,0,0,0,,,,,,,,
FR_knee_pitch,0.095213,0.089181,0.0015155,0,0,0,0.42769,0.0008361,-0.00096425,-1.6384E-05,0.0012878,-1.3578E-05,0.0020866,0,0,0,0,0,0,package://TOTAL ASSY_4차_URDF_sample/meshes/FR_knee_pitch.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://TOTAL ASSY_4차_URDF_sample/meshes/FR_knee_pitch.STL,,LEG R-1_2차_ASSY-1/CALF BODY_2차-1;LEG R-1_2차_ASSY-1/FOOT_BKT_2차-1,FR_knee_pitch_co,FL_knee_pitch_rot,FR_knee_pitch,revolute,-0.12,0.20925,-0.080956,0,0,0,FR_hip_pitch,0,-0.016993,0.99986,0,0,0,0,,,,,,,,
FR_foot,0.0020513,7.4563E-05,-0.0043872,0,0,0,0.056509,9.6885E-06,2.6857E-08,-1.5804E-06,1.3535E-05,2.0446E-08,1.2332E-05,0,0,0,0,0,0,package://TOTAL ASSY_4차_URDF_sample/meshes/FR_foot.STL,0,0,0,1,0,0,0,0,0,0,package://TOTAL ASSY_4차_URDF_sample/meshes/FR_foot.STL,,LEG R-1_2차_ASSY-1/FOOT_RUBBER_2차-1,FR_foot_co,,FR_foot,fixed,0.16971,0.16968,0.0028839,1.5708,0,0,FR_knee_pitch,0,0,0,,,,,,,,,,,,
RL_hip_roll,-0.0014388,0.00026667,-0.050404,0,0,0,0.33515,0.00051121,3.7371E-06,-2.2475E-07,0.00027359,2.6601E-06,0.00034805,0,0,0,0,0,0,package://TOTAL ASSY_4차_URDF_sample/meshes/RL_hip_roll.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://TOTAL ASSY_4차_URDF_sample/meshes/RL_hip_roll.STL,,LEG L-2_2차_ASSY-1/HIP BRACKET-1;LEG L-2_2차_ASSY-1/RS04-1,RL_hip_roll_co,RL_hip_roll_rot,RL_hip_roll,revolute,-0.172,0.061181,-0.06897,0,1.5708,0,base_link,0,0,1,0,0,0,0,,,,,,,,
