Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-4.5417E-05,-0.00023447,0.026658,0,0,0,0.81396,0.0014466,8.8112E-09,1.0293E-06,0.0014602,-4.1422E-06,0.0023599,0,0,0,0,0,0,package://YBL-A603_250924.SLDASM/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://YBL-A603_250924.SLDASM/meshes/base_link.STL,base_steel,base-1,base_cor,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
j1_adapter,-5.8563E-05,6.0342E-11,2.7508E-05,0,0,0,0.061408,2.301E-05,6.2872E-14,2.6065E-10,2.307E-05,4.6267E-15,4.5411E-05,0,0,0,0,0,0,package://YBL-A603_250924.SLDASM/meshes/j1_adapter.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://YBL-A603_250924.SLDASM/meshes/j1_adapter.STL,A6061T6,j1_adapter-1,base_j1_adapter_fix_cor,,j1_adapter_fix,fixed,0,0,0.0544,0,0,0,base_link,0,0,0,,,,,,,,,,,,
j1_link,-0.0034102,-7.7028E-06,-0.0025823,0,0,0,1.9626,0.0022781,-3.1194E-07,-1.7903E-06,0.0023714,9.2421E-08,0.0021646,0,0,0,0,0,0,package://YBL-A603_250924.SLDASM/meshes/j1_link.STL,0.77647,0.77647,0.81569,1,0,0,0,0,0,0,package://YBL-A603_250924.SLDASM/meshes/j1_link.STL,80T,j1_link-1,j1_adapter_rev_cor,Axis_j1_link_rev,j1_link_rev,revolute,0,0,0.0491,0,0,0,j1_adapter,0,0,1,0,3.141592654,-6.283185307,6.283185307,,,,,,,,
j2_adapter,-7.7508E-05,-1.2108E-07,5.8563E-05,0,0,0,0.061408,4.5411E-05,3.4882E-08,2.6065E-10,2.307E-05,4.6975E-13,2.301E-05,0,0,0,0,0,0,package://YBL-A603_250924.SLDASM/meshes/j2_adapter.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://YBL-A603_250924.SLDASM/meshes/j2_adapter.STL,A6061T6,j2_adapter-1,J1_j2_adapter_fix_cor,,j2_adapter_fix,fixed,-0.04885,-7.6273E-05,0,0,0,0,j1_link,0,0,0,,,,,,,,,,,,
j2_link,0.0025522,6.9884E-06,0.0034073,0,0,0,1.9637,0.0021648,-1.6059E-07,-2.1146E-06,0.0023749,-1.6812E-07,0.0022817,0,0,0,0,0,0,package://YBL-A603_250924.SLDASM/meshes/j2_link.STL,0.77647,0.77647,0.81569,1,0,0,0,0,0,0,package://YBL-A603_250924.SLDASM/meshes/j2_link.STL,80T,j2_link-1,j2_adapter_rev_cor,Axis_j2_link_rev,j2_link_rev,revolute,-0.04915,-7.6741E-05,0,0,0,0,j2_adapter,1,0.0015614,0,0,3.141592654,-6.283185307,6.283185307,,,,,,,,
j2_arm,7.8427E-06,-0.00012639,0.090026,0,0,0,0.65847,0.0026996,4.7156E-08,-2.9655E-07,0.0026965,1.3621E-07,0.00085536,0,0,0,0,0,0,package://YBL-A603_250924.SLDASM/meshes/j2_arm.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://YBL-A603_250924.SLDASM/meshes/j2_arm.STL,A6061T6,arm-1,j2_arm_fix_cor,,j2_arm_fix,fixed,0,0,0.04885,0,0,0,j2_link,0,0,0,,,,,,,,,,,,
arm_j3,0.0025522,9.8112E-07,0.045443,0,0,0,1.9637,0.0021648,-4.9534E-07,2.1149E-06,0.0023749,-1.6153E-07,0.0022817,0,0,0,0,0,0,package://YBL-A603_250924.SLDASM/meshes/arm_j3.STL,0.77647,0.77647,0.81569,1,0,0,0,0,0,0,package://YBL-A603_250924.SLDASM/meshes/arm_j3.STL,80T,j3_link-1,arm_j3_fix_cor,,arm_j3_fix,fixed,0,0,0.1801,0,0,0,j2_arm,0,0,0,,,,,,,,,,,,
j3_adapter,0.049072,7.662E-05,-5.8563E-05,0,0,0,0.061408,4.5411E-05,3.4882E-08,-2.6065E-10,2.307E-05,-3.4401E-13,2.301E-05,0,0,0,0,0,0,package://YBL-A603_250924.SLDASM/meshes/j3_adapter.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://YBL-A603_250924.SLDASM/meshes/j3_adapter.STL,A6061T6,j3_adapter-1,j3_adapter_rev_cor,Axis_j3_adapter_rev,j3_adapter_rev,revolute,0,0,0.04885,0,0,0,arm_j3,1,0.0015614,0,0,3.141592654,-6.283185307,6.283185307,,,,,,,,
j3_elbowArm,0.042241,1.6346E-05,0.081578,0,0,0,0.50482,0.0031749,5.4132E-08,-0.0002777,0.0032101,2.2489E-06,0.00062174,0,0,0,0,0,0,package://YBL-A603_250924.SLDASM/meshes/j3_elbowArm.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://YBL-A603_250924.SLDASM/meshes/j3_elbowArm.STL,A6061T6,elbowArm-1,j3_elbowarm_fix_cor,,j3_elbowArm_fix,fixed,0.049,8.6248E-05,0,0,0,0,j3_adapter,0,0,0,,,,,,,,,,,,
elbowArm_j4,-0.0019266,-9.2702E-06,0.038908,0,0,0,1.2573,0.0010854,-9.6087E-09,5.6744E-06,0.0011716,-9.4383E-08,0.0011036,0,0,0,0,0,0,package://YBL-A603_250924.SLDASM/meshes/elbowArm_j4.STL,0.77647,0.77647,0.81569,1,0,0,0,0,0,0,package://YBL-A603_250924.SLDASM/meshes/elbowArm_j4.STL,70T,j4_link-1,arm_j4_fix_cor,,elbowArm_j4_fix,fixed,0.0485,6.5985E-05,0.2172,0,0,0,j3_elbowArm,0,0,0,,,,,,,,,,,,
